country,year,sex,age,suicides_num,population
United States of America,1979,female,15-24 years,1001,21039000
United States of America,1979,female,25-34 years,1352,18176000
United States of America,1979,female,35-54 years,2458,24669000
United States of America,1979,female,5-14 years,48,17317000
United States of America,1979,female,55-74 years,1705,20097000
United States of America,1979,female,75+ years,384,6290000
United States of America,1979,male,15-24 years,4245,21405000
United States of America,1979,male,25-34 years,4505,17862000
United States of America,1979,male,35-54 years,5207,23380000
United States of America,1979,male,5-14 years,104,18075000
United States of America,1979,male,55-74 years,4593,16689000
United States of America,1979,male,75+ years,1587,3505000
United States of America,1980,female,15-24 years,903,21048000
United States of America,1980,female,25-34 years,1322,18856000
United States of America,1980,female,35-54 years,2214,24903000
United States of America,1980,female,5-14 years,26,17029000
United States of America,1980,female,55-74 years,1548,20445000
United States of America,1980,female,75+ years,350,6483000
United States of America,1980,male,15-24 years,4336,21433000
United States of America,1980,male,25-34 years,4598,18563000
United States of America,1980,male,35-54 years,5344,23647000
United States of America,1980,male,5-14 years,116,17798000
United States of America,1980,male,55-74 years,4538,16962000
United States of America,1980,male,75+ years,1557,3578000
United States of America,1981,female,15-24 years,960,20839000
United States of America,1981,female,25-34 years,1437,19537000
United States of America,1981,female,35-54 years,2374,25106000
United States of America,1981,female,5-14 years,48,16765000
United States of America,1981,female,55-74 years,1640,20689000
United States of America,1981,female,75+ years,324,6692000
United States of America,1981,male,15-24 years,4201,21283000
United States of America,1981,male,25-34 years,4906,19273000
United States of America,1981,male,35-54 years,5462,23879000
United States of America,1981,male,5-14 years,119,17527000
United States of America,1981,male,55-74 years,4523,17147000
United States of America,1981,male,75+ years,1580,3669000
United States of America,1982,female,15-24 years,864,20517000
United States of America,1982,female,25-34 years,1377,19771000
United States of America,1982,female,35-54 years,2304,25837500
United States of America,1982,female,5-14 years,40,16605500
United States of America,1982,female,55-74 years,1663,20905500
United States of America,1982,female,75+ years,367,6914000
United States of America,1982,male,15-24 years,4161,20990500
United States of America,1982,male,25-34 years,4939,19532000
United States of America,1982,male,35-54 years,5721,24615500
United States of America,1982,male,5-14 years,160,17374500
United States of America,1982,male,55-74 years,4890,17325000
United States of America,1982,male,75+ years,1740,3774000
United States of America,1983,female,15-24 years,864,20735000
United States of America,1983,female,25-34 years,1321,19979000
United States of America,1983,female,35-54 years,2176,26109000
United States of America,1983,female,5-14 years,53,16782000
